ISO,Country Name,2019 Mortality Rate,Latitude,Longitude
NOR,Norway,1.9842,60.472024,8.468946
OMN,Oman,9.8123,21.512583,55.923255
PAK,Pakistan,55.6638,30.375321,69.345116
PLW,Palau,15.7797,7.51498,134.58252
PAN,Panama,12.7802,8.537981,-80.782127
PNG,Papua New Guinea,35.85,-6.314993,143.95555
PRY,Paraguay,16.6333,-23.442503,-58.443832
PER,Peru,10.2553,-9.189967,-75.015152
PHL,Philippines,21.6331,12.879721,121.774017
POL,Poland,3.7627,51.919438,19.145136
PRT,Portugal,3.0502,39.399872,-8.224454
QAT,Qatar,5.5682,25.354826,51.183884
KOR,South Korea,2.7267,35.907757,127.766922
MDA,Moldova,12.3536,47.411631,28.369885
MKD,North Macedonia,5.3445,41.608635,21.745275
ROU,Romania,5.6947,45.943161,24.96676
RUS,Russia,4.9307,61.52401,105.318756
RWA,Rwanda,26.2901,-1.940278,29.873888
KNA,Saint Kitts and Nevis,12.8757,17.357822,-62.782998
LCA,Saint Lucia,20.0138,13.909444,-60.978893
VCT,Saint Vincent and the Grenadines,13.3855,12.984305,-61.287228
WSM,Samoa,12.9183,-13.759029,-172.104629
SMR,San Marino,1.4932,43.94236,12.457777
STP,SÆo Tom‚ and Pr¡ncipe,23.4843,0.18636,6.613081
SAU,Saudi Arabia,5.6859,23.885942,45.079162
SEN,Senegal,32.696,14.497401,-14.452362
SRB,Serbia,4.6287,44.016521,21.005859
SYC,Seychelles,12.2617,-4.679574,55.491977
SLE,Sierra Leone,80.921,8.460555,-11.779889
SGP,Singapore,2.0501,1.352083,103.819836
SVK,Slovakia,4.6832,48.669026,19.699024
SVN,Slovenia,1.6605,46.151241,14.995463
SLB,Solomon Islands,16.8215,-9.64571,160.156194
SOM,Somalia,74.0321,5.152149,46.199616
ZAF,South Africa,27.5165,-30.559482,22.937506
SSD,South Sudan,62.3711,6.877,31.307
ESP,Spain,2.6034,40.463667,-3.74922
LKA,Sri Lanka,6.077,7.873054,80.771797
PSE,State of Palestine,16.6361,31.9522,35.2332
SDN,Sudan,40.9687,12.862807,30.217636
SUR,Suriname,16.0799,3.919305,-56.027783
SWE,Sweden,2.0828,60.128161,18.643501
CHE,Switzerland,3.5661,46.818188,8.227512
SYR,Syrian Arab Republic,17.9226,34.802075,38.996815
TJK,Tajikistan,29.5955,38.861034,71.276093
THA,Thailand,7.7209,15.870032,100.992541
TLS,Timor-Leste,38.072,-8.874217,125.727539
TGO,Togo,45.7611,8.619543,0.824782
TON,Tonga,14.2913,-21.178986,-175.198242
TTO,Trinidad and Tobago,15.6558,10.691803,-61.222503
TUN,Tunisia,14.4867,33.886917,9.537499
TUR,Turkey,8.6153,38.963745,35.243322
TKM,Turkmenistan,36.3216,38.969719,59.556278
TUV,Tuvalu,20.2315,-7.109535,177.64933
UGA,Uganda,33.4373,1.373333,32.290275
UKR,Ukraine,7.1773,48.379433,31.16558
ARE,United Arab Emirates,6.4049,23.424076,53.847818
GBR,United Kingdom,3.6744,55.378051,-3.435973
TZA,United Republic of Tanzania,35.9767,-6.369028,34.888822
USA,United States of America,5.5574,37.09024,-95.712891
URY,Uruguay,6.0683,-32.522779,-55.765835
UZB,Uzbekistan,15.5745,41.377491,64.585262
VUT,Vanuatu,21.8538,-15.376706,166.959158
VEN,Venezuela (Bolivarian Republic of),21.0384,6.42375,-66.58973
VNM,Viet Nam,15.8845,14.058324,108.277199
YEM,Yemen,43.623,15.552727,48.516388
ZMB,Zambia,42.4153,-13.133897,27.849332
ZWE,Zimbabwe,38.4238,-19.015438,29.154857
